2026-08-03 Asia/Shanghai | initialized outputs/result.json with protocol CLI from config/input.json
2026-08-03 Asia/Shanghai | checked local reuse paths; stock_report annual facts, normalized facts, raw filing, and prior stock research files for 920195.BJ/2025-12-31 were absent
2026-08-03 Asia/Shanghai | retrieved and reviewed public 2025 annual report: https://dataclouds.cninfo.com.cn/sjother2/bse_onmarket/2026/20260428/7b7d99a6431311f1a579fa163e296ac0.pdf (公告编号 2026-009)
2026-08-03 Asia/Shanghai | confirmed model ordinary_operating/applicable: revenue derives from manufacturing and sale of vehicle hoses and assemblies; financial assets and borrowings are ancillary rather than the business itself
2026-08-03 Asia/Shanghai | financial statements used: consolidated balance sheet, income statement and cash flow statement; all amounts stored as absolute CNY
2026-08-03 Asia/Shanghai | operating FCF = 111,928,049.47 - 48,693,941.06 = 63,234,108.41; 2024 comparator FCF = 72,063,036.25 - 107,143,544.67 = -35,080,508.42
2026-08-03 Asia/Shanghai | discounted detachable net cash = 102,784,714.26 cash equivalents + 111,981,767.07 * 90% financial assets - 289,123,542.52 short borrowings - 37,097,515.89 current non-current liabilities - 19,730,625.00 long borrowings - 12,071,496.29 lease liabilities = -154,454,875.08
2026-08-03 Asia/Shanghai | sustainable cash profit judgment = 70,000,000: start from 103,473,803.15 adjusted parent profit, deduct 33,473,803.15 prudence allowance for capex, working-capital and cycle volatility; cross-check against 2025 FCF 63,234,108.41 and negative 2024 FCF
2026-08-03 Asia/Shanghai | operating business price = 1,207,000,000 - (-154,454,875.08) = 1,361,454,875.08; owner earnback = 19.44935536 years; market cap/cash profit = 17.24285714
2026-08-03 Asia/Shanghai | forecast dividend = 98,030,000 shares * CNY 0.20 = 19,606,000; yield = 1.62435791% on supplied market cap
2026-08-03 Asia/Shanghai | source limitation: company/association-derived industry-position claim not independently verified against association original list; supplied Tencent market snapshot not separately reconstructed
2026-08-03 Asia/Shanghai | protocol validation passed: status=ok, errors=[]
